DESIGN NUMBER,Colour Code,Coverage 01,Coverage 02,Coverage 03,Coverage 04,Coverage 05,Coverage 06,Coverage 07,Coverage 08,Coverage 09,Coverage 10,Coverage 11,Coverage 12,Coverage 13,Coverage 14,Total coverage
DX01335H04,R8B0000001,5.65,12.36,14.02,43.11,0,0,0,0,0,0,0,0,0,0,75.14
DX01336K04,P8A0000001,1.64,0.37,0.4,0.25,0,0,0,0,0,0,0,0,0,0,2.66
DX01337H01,D400000001,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58
DX01338F03,D8B0000001,2.76,3.03,7.2,0,0,0,0,0,0,0,0,0,0,0,12.99
DX01477G01,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
DX01477G01,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
DX01477G01,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
DX01477G01,P600000001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
DX01481G02,,16.71,1.37,0,0,0,0,0,0,0,0,0,0,0,0,18.08
DX01481G02,,16.71,1.37,0,0,0,0,0,0,0,0,0,0,0,0,18.08
DX01481G02,,16.71,1.37,0,0,0,0,0,0,0,0,0,0,0,0,18.08
