K1,Construction,Warp,Weft,EPI-PPI
11413,14C.PC*10C.PC-99*50-161.70-3/1 S TWILL,14C.PC,10C.PC-99*50-161.70-3/1 S TWILL,99*50
11413,"14VORTEX.PC*10K.PC-99*50-162.3-3/1,S TWILL",14VORTEX.PC,"10K.PC-99*50-162.3-3/1,S TWILL",99*50
11413,"14K.PC*10OE.PC-99*50-162.3-3/1,S TWILL",14K.PC,"10OE.PC-99*50-162.3-3/1,S TWILL",99*50
11413,"14K.PC*10K.PC-99*50-162.3-3/1,S TWILL",14K.PC,"10K.PC-99*50-162.3-3/1,S TWILL",99*50
11413,"14K.PC*10K.PC-99*50-162.3-3/1,S TWILL",14K.PC,"10K.PC-99*50-162.3-3/1,S TWILL",99*50
11413,"14K.PC*10K.PC-99*50-162.3-3/1,S TWILL",14K.PC,"10K.PC-99*50-162.3-3/1,S TWILL",99*50
11413,"14K.PC*10K.PC-100*50-160-3/1,S TWILL",14K.PC,"10K.PC-100*50-160-3/1,S TWILL",100*50
11414,14K.PC*14K.PC-96*56-160-3/1 TWILL,14K.PC,14K.PC-96*56-160-3/1 TWILL,96*56
11419,"14PC*10PC-100*52-160-2/2,Z TWILL",14PC,"10PC-100*52-160-2/2,Z TWILL",100*52
11453,14PC*10PC-82*32--,14PC,10PC-82*32--,82*32
11454,14PC*10PC-82*44--,14PC,10PC-82*44--,82*44
11457,14PC*10PC-100*46--,14PC,10PC-100*46--,100*46
11458,14OE*20LYC-96*56--,14OE,20LYC-96*56--,96*56
11459,14OE+14SLUB*14OE+14SLUB-96*56--,14OE+14SLUB,14OE+14SLUB-96*56--,96*56
11460,14PC*6PC-58*32-172.7-,14PC,6PC-58*32-172.7-,58*32
11466,14OE+14SLUB*20LYC+16OE-72*60--,14OE+14SLUB,20LYC+16OE-72*60--,72*60
11467,14OE+14SLUB*14OE+14SLUB-72*56--,14OE+14SLUB,14OE+14SLUB-72*56--,72*56
11480,14PC*14OE.PC-98*56-160.8-3/1 TWILL,14PC,14OE.PC-98*56-160.8-3/1 TWILL,98*56
11488,14OE*10OE-110*56-156.7-2/2 MATT,14OE,10OE-110*56-156.7-2/2 MATT,110*56
11490,"14PC*14OE.PC-81*56-161.8-2/1,Z TWILL",14PC,"14OE.PC-81*56-161.8-2/1,Z TWILL",81*56
11491,"14PC*14PC-81*56-162.6-2/1,S TWILL",14PC,"14PC-81*56-162.6-2/1,S TWILL",81*56
