k1,k2,k3,k4,construction
11600073,BLOO,C55001,HH01,16OE+16MEL*16OE+16MEL- 2/2 S TWILL
11600074,BAOO,S22001,HH01,16OE*16OE-104*76-150-DOBBY 285
11600074,BAOO,S22001,HH02,16OE*16OE- -DOBBY-08.08.028
11600075,BAOO,C22001,HH01,16OE*12OE- *56-1/3 S TWILL
11600078,BAOO,W21001,HH01,DISCARD
11600078,BAOO,W22001,HH01,16OE+16MC*16OE+40LEA.LINEN-PLAIN
11600080,BAOO,S21001,HH01,16OE*12OE-76*54*147-DOBBY-250 $
11600081,BAOO,W21001,HH01,16OE+16OE.MC*16OE-3/1 Z TWILL
11600085,BAOO,S12001,HH01,16OE*16OE- *60-2/1 S TWILL
11600085,BAOO,S12002,HH01,16OE*16OE- *60-2/1 S TWILL
11600086,BAOCL,F22001,HH01,16OE*16OE+16LYC(70D)- *66-2/2 HBT
11600087,HOC,W11001,HH01,16OE*16SPX(70D)- -DOBBY-08.08.024
11600087,HOC,W11001,HH02,16OE*16SPX(70D)- -DOBBY-08.08.024
11600088,BAOC,W11001,HH01,16OE*12SPX(70D)- -2/2 HBT-24.04.016
11600088,BAOC,W11001,HH02,16OE*12SPX(70D)- *52-2/2 HBT
11600090,BACD,F22001,DD01,16OE+20C.PC*30K.COM+220D.PET.STR(70D)- *70-DOBBY TOP BEAM (4/1 S SATIN)
11600096,BAKCJ,S21001,DH01,16K.PC+30/2R.CVC*12SPX(70D)-74*52*151-PLAIN 247
11600096,BAKCJ,S21001,DH04,16K.PC+2/30C.CVC*12SPX(70D)- -PLAIN
11600096,STICKER,S21001,DH01,16K.PC+30/2R.CVC*12SPX(70D)-74*52*151-PLAIN 247
11600097,BAKCJ,S21001,DH01,16K.PC+16C.PC*12SPX(70D)- -PLAIN
11600097,BAKCJ,S21001,DH02,16K.PC+16C.PC*12SPX(70D)- -PLAIN
11600099,BAKCJ,S21001,DH01,15.5C.PC+16K.PC*12SPX(70D)- -PLAIN
11600100,BAOC,C22001,HH01,16OE+2/30GRINDLE*2/30GRINDLE+16SPX(70D)-90*62*142-DOBBY 259
11600101,BAKCJ,S21001,DH01,16K.PC+300D.PET*12SPX(70D)- -PLAIN
11600102,BAOCW,C22001,HH01,16OE*12SPX(70D)- -DOBBY-08.08.075
11600102,BAOCW,C22001,HH02,16OE*12SPX(70D)- -DOBBY-08.08.075
11600102,BAOCW,C22001,HH03,16OE*12SPX(70D)- -DOBBY-08.08.075
11600103,BAKK,C22001,DH01,16K.PC*16K.PC-76*64*151-2/2 S TWILL-221
11600108,BACC,S21001,HH01,16MC*16MC- *60-DOBBY-22.04.007
11600111,BAOC,W11001,HH03,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
11600111,BAOC,W11001,HH04,16OE*16C MC-52*54-171.37-DOBBY-04.04.019
11600111,BAOC,W11001,HH05,16OE*16MC- -DOBBY-04.04.019
11600111,BAOC,W21001,HH01,16OE*16MC-59*52-151-DOBBY(TOP BEAM)-184
11600111,BAOC,W21001,HH02,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
11600111,BAOC,W21001,HH03,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
11600111,BAOC,W21001,HH04,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
11600111,BAOCJ,W11001,HH03,16OE*16MC- -DOBBY-04.04.019
11600111,BAOCJ,W11001,HH04,16OE*16MC- -DOBBY-04.04.019
11600111,BAOCJ,W11001,HH05,16OE*16MC- -DOBBY-04.04.019
11600111,BAOCJ,W21001,HH03,16OE*16MC- -DOBBY(TOP BEAM)-04.04.019
