k1,k2,k3,k4,construction
140U96,LLMMS,W11001,HH50,40COM*40COM-118*80-143-OXFORD-120 $
14500102,BACC,W11001,DH01,45C.CVC*45C.CVC-114*78-154-DOBBY-112
15000075,BAMMS,C22016,HH06,50COM*50COM-124*100-150-PLAIN-112 $
15000075,BAMMS,C22016,HH07,50COM*50COM-124*100-150-PLAIN-112 $
15000075,BAMMS,C22016,HH08,50COM*50COM-124*100-150-PLAIN-112 $
15000119,LLMMS,S21001,HH02,50COM*50COM-128*100-148-PLAIN-118
15000166,BAMM,W11001,HH06,50COM*50COM-144*72-149-OXFORD-106 $
15000175,BAMMN,C33022,HH01,50COM*50COM- *100-2/2 Z TWILL
15000270,BAMMS,F21001,HH29,50COM*50COM-148*88-149-PLAIN-115 $
15000270,LLMMS,F21001,HH28,50COM*50COM-148*88-149-PLAIN-115 $
15000365,BAMMS,W11001,HH01,50COM*50COM-134*92-148-3/2 MATT 115 $
15000365,BAMMS,W11001,HH02,50COM*50COM-143*92-140-3/2 MATT 120$
15000512,BAMMS,W11001,HH01,50COM*50COM-150*88-143-(DOBBY)ROYAL OXFORD-115 $
15000512,BAMMS,W11001,HH02,50COM*50COM-150*88-143-(DOBBY)ROYAL OXFORD-115 $
15000513,BAMMS,W11001,HH01,50COM*50COM-146*84-150-DOBBY-115
15000536,BAMCSJ,C66013,HH01,50COM*40SPX(40D)- *74-PLAIN
15000536,BAMCSK,C55001,HH02,50COM*40SPX(40D)- *74-PLAIN
15000536,BAMCSK,C55003,HH02,50COM*40SPX(40D)- *74-PLAIN
15000536,BLMCS,C22001,HH01,50COM*40SPX(40D)-102*74-174.8-PLAIN
15000536,BLMCSK,C22001,HH01,50COM*40SPX(40D)- *74-PLAIN
15000536,BLMCSK,C55001,HH01,50COM*40SPX(40D)- *74-PLAIN
15000537,BLMMS,C55001,HH01,discard
15000621,LLMMS,C33002,HH01,50COM*50COM- *100-2/2 Z TWILL
15000628,BAMMNS,F22001,HH05,50COM*50COM+50SPX(40D)-145*80-148-PLAIN-122 $
15000628,BAMMNS,S22001,HH01,50COM*50COM+50SPX(40D)-145*80-148-PLAIN-122 $
15000628,BAMMNS,S22002,HH05,50COM*50COM+50SPX(40D)-145*80-148-PLAIN-122 $
15000628,BAMMNS,S22006,HH05,50COM*50COM+50SPX(40D)-145*80-148-PLAIN-122 $
15000628,BAMMNS,S22007,HH03,50COM*50COM+50SPX(40D)-145*80-148-PLAIN-122 $
15000628,BAMMNSJ,F22001,HH05,50COM*50COM+50SPX(40D)-145*80-148-PLAIN-122 $
15000628,BAMMNSJ,S22001,HH01,50COM*50COM+50SPX(40D)-145*80-148-PLAIN-122 $
15000628,BAMMNSJ,S22006,HH05,50COM*50COM+50SPX(40D)-145*80-148-PLAIN-122 $
15000628,BAMMNSJ,S22007,HH03,50COM*50COM+50SPX(40D)-145*80-148-PLAIN-122 $
15000629,BAMMS,W11001,HH01,50COM*50COM- *100-ROYAL OXFORD
15000629,LLMMS,W11001,HH02,50COM*50COM- *100-ROYAL OXFORD
15000676,BAMMS,C22001,HH01,50COM*50COM-145*104-150-PLAIN-128 $
15000676,BAMMS,S21001,HH01,50COM*50COM-145*104-150-PLAIN-128 $
15000676,BLMMS,W11001,HH01,50COM*50COM-145*104-150-PLAIN-128 $
15000678,BLMM,C55001,HH01,50COM*50COM- *84 -2/2 Z TWILL
15000678,BLMM,C55001,HH02,50COM*50COM- *84 -2/2 Z TWILL
15000695,LLMMS,W11001,HH01,50COM*50COM-148*96-151-DOBBY-128
15000720,BAMMSN,W11001,HH01,50COM*50COM- *120-2/2 MATT
15000720,BAMMSN,W11001,HH02,50COM*50COM- *120-2/2 MATT
15000881,BAMD,W11001,HH01,50COM*50K.COM.M.TEN- *108- -2/2 MATT
