k1,construction
12000065,20COM*20COM-93*84-148-2/2 'S' TWILL-226 $
12000065,20COM*20COM-93*84-148-2/2 'S' TWILL-226 $
12000065,20COM*20COM-93*84-148-2/2 'S' TWILL-226 $
12000065,20COM*20COM- *84-2/2 S TWILL
12000065,20COM*20COM- *84-2/2 S TWILL
12000065,20COM*20COM- *84-2/2 S TWILL
12000074,20COM*20COM-94*82-148-2/2 S TWILL-210 $
12000074,20COM*20COM-94*82-148-2/2 S TWILL-210 $
12000081,20COM*30COT.PET NEPS-82*62-145-PLAIN-150 $
12000090,20COM*20SPX-112*80-145-2/2 Z TWILL-265 $
12000091,20COM*20SPX-124*68-143-2/2 Z TWILL-250 $
12000092,20COM*30PC.NEPS+40COM-82*60-148-PLAIN-150 $
12000092,20COM*30PC.NEPS+40COM-82*60-148-PLAIN-150 $
12000092,20COM*30PC.NEPS+40COM-82*60-148-PLAIN-150 $
12000092,20COM*30PC.NEPS+40COM
12000093,20COM*20COM-80*60-148-PLAIN-178 $
12000097,20COM+2/40MEL*20COM+2/40MEL-
12000098,20COM*20MC-149*68-148-4/1 S SATIN-274 $
12000098,20COM*20MC-149*68-148-4/1 S SATIN-274 $
12000099,20COM*20SPX- *72-PLAIN
12000099,20COM*20SPX- *72-PLAIN
12000099,20COM*20SPX- *72-PLAIN
12000099,20COM*20SPX-88*72-152-PLAIN-220 $
12000099,20COM*20SPX-88*72-152-PLAIN-220 $
12000099,20COM*20LYC(70D)- *72-PLAIN
12000099,20COM*20SPX(70D)- *72-PLAIN
12000101,20COM*16SPX-118*56-132-DOBBY-260 $
12000101,20COM*16SPX-118*56-132-DOBBY-260 $
12000101,20COM*16SPX
12000104,20COM*10SPX-102*50-140-3/1 S TWILL-275 $
12000104,20COM*10SPX-102*50-140-3/1 S TWILL-275 $
12000105,20COM*16OE+30SPX-120*112-145-DOBBY-315 $
12000105,20COM*16OE+30SPX-120*112-145-DOBBY-315 $
12000105,20COM*16OE+30SPX-120*112-145-DOBBY-315 $
12000105,20COM*16OE+30SPX-DOBBY
12000106,20COM*16SPX-118*64-148-2/2 Z TWILL-265 $
12000106,20COM*16SPX-118*64-148-2/2 Z TWILL-265 $
12000106,20COM*16SPX-118*64-148-2/2 Z TWILL-265 $
12000106,20COM*16SPX-2/2 Z TWILL
12000106,20COM*16SPX-2/2 Z TWILL
12000111,20COM*20COM-110*90-132-DOUBLE CLOTH (TOP BEAM)-270 $
12000111,20COM*20COM-110*90-132-DOUBLE CLOTH (TOP BEAM)-270 $
12000111,20COM*20COM-DOUBLE CLOTH (TOP BEAM)
12000113,20COM*20SPX(70D)- *80-2/2 Z TWILL
12000113,20COM*20SPX(70D)- *80-2/2 Z TWILL
12000113,20COM*20SPX-106*80-133-2/2 Z TWILL-270 $
12000113,20COM*20SPX-106*80-133-2/2 Z TWILL-270 $
12000113,20COM*20SPX-106*80-133-2/2 Z TWILL-270 $
12000113,20COM*20SPX(70D)- *80-2/2 Z TWILL
12000113,20COM*20SPX(70D)- *80-2/2 Z TWILL
12000113,20COM*20SPX(70D)- *80-2/2 Z TWILL
12000113,20COM*20SPX(70D)- *80-2/2 Z TWILL
12000113,20COM*20SPX(70D)- *80-2/2 Z TWILL
12000113,20COM*20SPX(70D)- *80-2/2 Z TWILL
12000117,20COM*20SPX-110*64-125-2/2 Z TWILL-245 $
12000117,20COM*20SPX-110*64-125-2/2 Z TWILL-245 $
12000119,20COM*16SPX-128*62-148-2/2 Z TWILL-264 $
12000120,20COM*30SPX+16SPX-DOBBY
12000120,20COM*30SPX+16SPX-DOBBY
12000120,20COM*30SPX+16SPX-DOBBY
12000122,20COM*20COM-DOBBY
12000123,20COM*20COM-PLAIN
12000127,20COM+20MC*20COM-100*68-141-OXFORD 205 $
12000132,20COM*20SPX-100*64-151-PLAIN 220 $
12000132,20COM*20SPX-100*64-151-PLAIN 220 $
12000137,20COM*20COM-120*72-158-DOBBY 232 $
12000142,20COM*16OE-110*72-151-2/2 S TWILL 255 $
12000142,20COM*16OE-110*72-151-2/2 S TWILL 255 $
12000144,20COM*20SPX-82*60-135-PLAIN-195 $
12000144,20COM*20SPX(70D)-PLAIN
12000144,20COM*20SPX(70D)-PLAIN
12000144,20COM*20SPX(70D)-PLAIN
12000144,20COM*20SPX(70D)- *60-PLAIN
12000144,20COM*20SPX-82*60-135-PLAIN-195 $
12000145,20COM*20COM-PLAIN
12000146,20COM*20COM-124*70-150-2/2 S TWILL-245 $
12000147,20COM*20COM-74*68-148-PLAIN-170 $
12000147,20COM*20COM- *68-PLAIN
12000147,20COM*20COM- *68-PLAIN
12000153,20COM*30COM-102*84-148-2/1 S TWILL 196 $
12000153,20COM*30COM-100*84-153-2/1 S TWILL 196 $
12000153,20COM*30COM-100*84-153-2/1 S TWILL 196 $
12000153,20COM*30COM-2/1 S TWILL
12000154,"20COM*20SPX-124*70-144-3/1,S TWILL-262 $"
12000156,20COM*10SPX-118*60-130-DOBBY 354 $
